customer_id,order_date
C001,2011-01-05
C002,2011-01-10
C003,2011-01-15
C004,2011-01-20
C005,2011-01-25
C001,2011-02-08
C002,2011-02-18
C006,2011-02-22
C001,2011-03-04
C003,2011-03-15
C007,2011-03-20
C001,2011-04-10
C002,2011-04-18
C004,2011-04-25
C003,2011-05-09
C005,2011-05-15
C001,2011-06-12
C002,2011-06-18
C001,2011-07-14
C004,2011-07-22
C002,2011-08-11
C003,2011-08-19
C001,2011-09-03
C005,2011-09-12
C002,2011-10-09
C004,2011-10-21
C001,2011-11-13
C003,2011-11-25
C002,2011-12-05
C005,2011-12-18
